50 ,160.000000,130.000000,160.000000,110.000000,110.000000,100.000000,100.000000,90.000000,90.000000,100.000000,
100 ,150.000000,170.000000,130.000000,140.000000,130.000000,110.000000,120.000000,100.000000,100.000000,110.000000,
150 ,190.000000,160.000000,150.000000,140.000000,130.000000,120.000000,110.000000,130.000000,130.000000,120.000000,
200 ,170.000000,170.000000,160.000000,140.000000,140.000000,150.000000,120.000000,110.000000,120.000000,120.000000,
250 ,190.000000,170.000000,190.000000,150.000000,140.000000,120.000000,130.000000,110.000000,120.000000,140.000000,
300 ,220.000000,180.000000,160.000000,150.000000,140.000000,120.000000,130.000000,130.000000,130.000000,130.000000,
350 ,190.000000,170.000000,170.000000,160.000000,150.000000,140.000000,130.000000,110.000000,120.000000,140.000000,
400 ,200.000000,190.000000,160.000000,150.000000,130.000000,130.000000,140.000000,120.000000,140.000000,150.000000,
450 ,190.000000,170.000000,170.000000,150.000000,150.000000,150.000000,130.000000,130.000000,130.000000,150.000000,
500 ,190.000000,210.000000,180.000000,150.000000,140.000000,140.000000,140.000000,130.000000,150.000000,160.000000,
