50,100,150,200,250,300,350,400,450,500
0,0.002,0.004,0.000001,0.008,0.012002,0.000002,0.008,0.012002,0.016002
0.002003,0,0.002,0.002,0.002,0.006,0.006001,0.020001,0.012004,0.028002
0.002006,0.004,0.010001,0.012002,0.012002,0.006002,0.018001,0.008004,0.028002,0.034006
0.004007,0.004001,0.006001,0.010001,0.006002,0.024001,0.028005,0.038006,0.036008,0.028007
0.000006,0.002,0.012,0.004002,0.000001,0.02,0.006004,0.052001,0.04401,0.028009
0.004006,0.004001,0.002001,0.02,0.006004,0.014001,0.000003,0.052,0.00201,0.062
0.002012,0.014,0.014003,0.014003,0.030003,0.010006,0.052002,0.02401,0.032005,0.082006
0.006016,0.008001,0.000002,0.004,0.000001,0.056,0.060011,0.048012,0.07601,0.048015
0.00401,0.018001,0.004004,0.028001,0.034006,0.000007,0.078,0.080016,0.016016,0.082003
0.008016,0.006002,0.024001,0.016005,0.012003,0.062002,0.048012,0.00201,0.036,0.078007
